Item_No,Item_Description,Item_Category,Item_Subcategory,Item_Type,Base_Unit_of_Measure,Inventory_Posting_Group,Gen_Prod_Posting_Group,VAT_Prod_Posting_Group,Unit_Cost,Unit_Price,Costing_Method,Replenishment_System,Vendor_No,Vendor_Item_No,Lead_Time_Calculation,Reorder_Point,Reorder_Quantity,Maximum_Inventory,Safety_Stock_Quantity,Weight,Volume,Shelf_Life_Days,Storage_Requirements,Cultural_Restrictions,Kingdom_Bans,Export_Restrictions,Seasonal_Item,Quality_Grade,Magical_Properties,Danger_Level,Handling_Instructions,Production_Category,Quality_Requirements,Retail_Display_Data,Enchantment_Classification,Blocked,Search_Description
SHIP-STD-001,Standard Cross-Realm Shipment (per kg),Logistics Services,Transportation,Service,KG,SERVICES,LOGISTICS,VAT-SERV,0.80,2.50,Standard,,,,,,,,,,,,,,,,,No,Standard,None,None,Route via assigned caravan squad; cargo manifest required at pickup,TRANSPORT,,,,No,SHIP STD CROSS REALM
SHIP-PREM-001,Contested Route Premium Shipment (per kg),Logistics Services,Transportation,Service,KG,SERVICES,LOGISTICS,VAT-SERV,1.50,5.00,Standard,,,,,,,,,,,,,Dual-kingdom permit required,,Yes — requires Bran diplomatic clearance,No,Premium,Diplomatic Permit Required,Low,Dual-kingdom permits managed by Bran; contested route surcharge applies; priority captain assignment,TRANSPORT,,,,No,SHIP PREM CONTEST
PEAB-001,Preservation Enchanted Ale Barrel (30L),Brewing Supplies,Enchanted Containers,Inventory,PCS,ALE-SUPPLIES,ALE-DIST,VAT-STD,85.00,140.00,Average,Purchase,VEND-TP-002,PEAB-30L,14D,20,40,100,10,18.00,0.032,3650,Climate-controlled storage preferred; enchantment status monitored quarterly,,,No,Yes,Premium,Enchanted — preservation magic maintains freshness indefinitely,Low,Handle upright; do not expose enchantment runes to direct flame; re-enchant every 3 years,ALE-BARREL,,,,No,PRES ENC ALE BARREL
ALE-SALT-001,Saltmere Briny Gold Ale (30L barrel),Ales & Beverages,Coastal Ales,Inventory,PCS,ALE-STOCK,ALE-DIST,VAT-STD,45.00,72.00,Average,Purchase,VEND-TP-001,SMB-BRINY-30,7D,30,60,200,15,16.50,0.032,180,Preservation enchantment required for journeys over 7 days; sea-cooled cellar optimal,,,No,No,Standard,Requires preservation enchantment for long-distance distribution,Low,Caskwarden Certified; store horizontal; serve at 12°C; Caskwarden seal must be intact on delivery,ALE-COASTAL,,Caskwarden Certified — briny coastal flavour profile; pairs with seafood,PRESERVATION-REQUIRED,No,ALE SALT BRINY GOLD
ENRG-01,Arena Match Entry Fee — Regional Circuit,Combat Sports Services,Tournament Fees,Service,PCS,SERVICES,LEAGUE,VAT-SERV,0.00,150.00,Standard,,,,,,,,,,,,,Fighter eligibility certificate required; kingdom-specific entry rules apply,,No,No,Standard,None,None,Fighter must hold valid Pinnacle League registration; medical clearance required for each event,FIGHTER-SERVICES,,,,No,ARENA MATCH ENTRY REG
TRAIN-CAMP-01,Arena Training Camp — 5-Day Intensive,Combat Sports Services,Training Programs,Service,PCS,SERVICES,LEAGUE,VAT-SERV,120.00,350.00,Standard,,,,,,,,,,,,,Cultural combat tradition protocols observed at each arena location,,No,Yes,Premium,None,None,Led by arena-specialist coach; limited to 20 fighters; medical screening on day 1; arena-specific safety briefing mandatory,FIGHTER-SERVICES,,,,No,TRAIN CAMP 5 DAY
ENCANT-WARD-01,Caravan Magical Ward (per wagon),Magical Items,Defensive Enchantments,Inventory,PCS,MAGIC-ITEMS,ENCHANT,VAT-MAG,200.00,450.00,Standard,Purchase,VEND-BC-002,AOF-WARD-WGN,7D,5,10,30,3,2.50,0.005,1095,Dry cool storage; avoid proximity to counter-ward magic sources,,,No,No,Premium,Active ward enchantment — deflects hostile magic and detects concealed weapons,Medium,Handle with enchanter's gloves; inspect integrity seal monthly; replace every 3 years or after magical impact event,MAGICAL-ITEM,,Full enchantment certification included; tested across 3 climate zones,ACTIVE-WARD,No,CARAVAN MAGIC WARD
COMP-SHED-01,Certified Phoenix Scale (each),Magical Components,Rare Animal Components,Inventory,PCS,MAGIC-COMP,CONSERVATION,VAT-MAG,180.00,520.00,Specific,Purchase,VEND-DA-001,,21D,3,5,20,2,0.05,0.000001,730,Fireproof container required; keep away from water; temperature-stable dry storage,Banned in Cindralis (hoarding law),No export to Nivara (import ban),Yes,Premium,Heat-resistant magical properties; used in fire enchantments and preservation spells,Low,Warden provenance certificate required; handle with heat-resistant gloves; Delyra authentication certificate included,RARE-MATERIAL,Sustainably harvested — Weltina's Haven quota-controlled; Delyra-authenticated,Listed in Delyra shop catalogue — rare item display,AUTHENTIC-CERTIFIED,No,COMP PHOENIX SCALE
HERB-PRES-01,Preservation Botanical Bundle (standard mix),Alchemical Ingredients,Botanical Supplies,Inventory,BUNDLE,INGREDIENTS,CONSERVATION,VAT-STD,12.00,28.00,Average,Purchase,VEND-DA-001,,21D,10,20,80,5,0.30,0.0005,90,Dry cool storage; keep sealed; avoid direct sunlight; Thornleaf-harvested batches have seasonal labelling,Banned in Frostmere (import restrictions on Sylvaran goods),,Yes,Standard,Mild preservation properties; enhances enchantment duration when used as base ingredient,None,Thornleaf Guild sustainability certificate included; store in sealed container; use within 90 days of harvest date,BOTANICAL-INGREDIENT,,,,No,HERB PRES BOTANICAL
EDU-TOUR-01,Guided Preserve Educational Tour (per group),Education Services,Conservation Programs,Service,GROUP,SERVICES,EDUCATION,VAT-SERV,30.00,85.00,Standard,,,,,,,,,,,,,Cultural sensitivity briefing required; Frostmere and Cindralis visitors require advance warden escort booking,,No,Yes,Standard,None,None,Group size 6-20 persons; advance booking 7 days; Warden guide assigned; medical disclaimer signed on arrival; no unescorted access to habitat zones,EDUCATION-SERVICE,Suitable for all ages; accessible routes available; seasonal — spring-autumn only,,No,No,EDU GUIDED TOUR
